desc;und;quant;valor_unit;valor_total
"ENOXAPARINA  SÓDICA 
  60  MG  SERINGA 
PREENCHIDAS 
COM 
SISTEMA 
DE 
SEGURANÇA (ITEM EXCLUSIVO – ME/EPP)";AMP;1800;R$ 32,35;R$ 58.230,00
"EPINEFRINA, 
CONCENTRAÇÃO: 
1  MG,ML, 
FORMA 
FARMACEUTICA: 
SOLUÇÃO 
INJETÁVEL,  CARACTERÍSTICA  ADICIONAL: 
COM 
CANETA 
APLICADORA 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;2700;R$ 1,39;R$ 3.753,00
"ESCOPOLAMINA 
BUTILBROMETO, 
APRESENTAÇÃO: 
ASSOCIADA 
COM 
DIPIRONA 
SÓDICA, 
DOSAGEM: 
4MG 
+ 
500MG,ML, 
INDICAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
- 
AMPOLA 
5ML 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;4500;R$ 3,95;R$ 17.775,00
"ESCOPOLAMINA 
BUTILBROMETO, 
DOSAGEM: 
10  MG 
(ITEM  EXCLUSIVO 
– 
ME/EPP)";COM;8000;R$ 0,76;R$ 6.080,00
"ESCOPOLAMINA 
BUTILBROMETO, 
DOSAGEM: 20 MG,ML, INDICAÇÃO: SOLUÇÃO 
INJETÁVEL 
- 
AMPOLA 
1,0 
ML 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;2300;R$ 2,01;R$ 4.623,00
"ESPAÇADOR,  APLICAÇÃO:  COM  MÁSCARA 
ADULTO  ULTRA-FLEXÍVEL  BIVALVULADA, 
TIPO: ADAPTADOR UNIVERSAL PARA SPRAY 
AEROSSOL,  CARACTERÍSTICAS  ADICIONAIS: 
TRANSPARENTE, 
CÂMARA 
INQUEBRÁVEL 
(COTA RESERVADA PARA ME/EPP DO ITEM 
202)";UND;225;R$ 206,21;R$ 46.397,25
"ETILEFRINA 
CLORIDRATO, 
COMPOSIÇÃO: 
10MG/ML, 
APRESENTAÇÃO: 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;1800;R$ 2,05;R$ 3.690,00
"FENITOÍNA 
SÓDICA, 
DOSAGEM: 
100  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;14000;R$ 0,13;R$ 1.820,00
"FENITOÍNA  SÓDICA,  DOSAGEM:  50  MG/ML, 
APRESENTAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;900;R$ 3,34;R$ 3.006,00
"FENOBARBITAL 
SÓDICO, 
DOSAGEM: 
100 
MG/ML,  FORMA  FARMACÊUTICA:  SOLUÇÃO 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;900;R$ 2,66;R$ 2.394,00
"FENOBARBITAL  SÓDICO,  DOSAGEM:  100  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;9000;R$ 0,21;R$ 1.890,00
"FENOTEROL 
BROMIDRATO, 
CONCENTRAÇÃO: 
5 
MG,ML, 
FORMA 
FARMACEUTICA:  SOLUÇÃO  ORAL  -  FRASCO 
20 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;1800;R$ 4,43;R$ 7.974,00
"FENTANILA,  COMPOSIÇÃO:  SAL  CITRATO, 
CONCENTRAÇÃO: 
78,5 
MG/ML, 
FORMA 
FARMACÊUTICA: 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;900;R$ 8,36;R$ 7.524,00
"FITOMENADIONA, 
DOSAGEM: 
10  MG/ML, 
INJETÁVEL 
- 
VITAMINA 
K 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;900;R$ 3,19;R$ 2.871,00
"FLUCONAZOL,  DOSAGEM: 
150  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";CÁP;8000;R$ 0,70;R$ 5.600,00
"FLUMAZENIL, 
DOSAGEM: 
0,1 
MG/ML, 
INDICAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;270;R$ 15,17;R$ 4.095,90
"FLUOXETINA 
20MG 
(ITEM  EXCLUSIVO 
– 
ME/EPP)";COM;110000;R$ 0,14;R$ 15.400,00
"FUROSEMIDA, 
COMPOSIÇÃO: 
10  MG/ML, 
APRESENTAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";UND;11000;R$ 2,75;R$ 30.250,00
"FUROSEMIDA, 
DOSAGEM: 
40  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;45000;R$ 0,11;R$ 4.950,00
"GLICERINA CLÍSTER COM APLICADOR (ITEM 
EXCLUSIVO – ME/EPP)";UND;2700;R$ 15,84;R$ 42.768,00
"GLICONATO  DE  CÁLCIO,  DOSAGEM: 
10%, 
APRESENTAÇÃO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;4500;R$ 2,81;R$ 12.645,00
"GLICOSE  5  %  FRASCO  250ML  SIST  FECHADO 
(ITEM EXCLUSIVO – ME/EPP)";AMP;6000;R$ 11,79;R$ 70.740,00
"GLICOSE, 
FÓRMULA 
QUÍMICA: 
C18H32O16.XH2O, 
COMPOSIÇÃO 
QUÍMICA: 
MALTOTRIOSE 
HIDRATADA, 
ASPECTO 
FÍSICO:  PÓ,  MASSA  MOLAR:504,44  G/MOL, 
GRAU DE PUREZA: PUREZA MÍNIMA DE 95%, 
NÚMERO 
DE 
REGISTRO 
QUÍMICO: 
CAS 
207511-08-8,  CARACTERÍSTICAS  ADICIONAIS 
1:  PADRÃO  ANAL.  SORO  GLICOSADO  500  ML 
SISTEMA 
FECHADO. 
(AMPLA 
CONCORRÊNCIA)";UND;4125;R$ 19,60;R$ 80.850,00
